id,mol_name,formula,kegg_id,pubchem_sid
5037,Isobutyronitrile,C4H7N,C02420,5451
5038,Hypotaurocyamine,C3H10N3O3S+,C02419,5450
5039,Lemobiline,C15H17NO2,C10705,12888
5040,Glutaconyl-1-CoA,C26H40N7O19P3S,C02411,5444
5041,Formylkynurenine,C11H12N2O4,C02406,5439
5042,Dydrogesterone,C21H28O2,C12617,583007
5043,4-Sulfobenzyl alcohol,C7H8O4S,C06678,8903
5044,11-Hydroxycanthin-6-one,C14H8N2O2,C09212,11403
5045,Glybuzole,C12H15N3O2S2,C12610,583000
5046,Cycloheximide,C15H23NO4,C06685,8910
5047,Aluminum clofibrate,C20H27AlCl2O7,C12608,582998
5048,Febuxostat,C16H16N2O3S,C12606,582996
5049,Tobicillin,C27H30N2O6S,C12614,583004
5050,Tolvaptan,C26H25ClN2O3,C12613,583003
5051,Simfibrate,C23H26Cl2O6,C12612,583002
5052,Valinomycin,C54H90N6O18,C06684,8909
5053,all-trans-Dehydroretinal,C20H26O,C05918,8206
5054,(3Z)-Phytochromobilin,C33H36N4O6,C05913,8201
5055,Harman,C12H10N2,C09209,11400
5056,Fridamycin E,C19H16O7,C12451,582841
5057,Eschscholtzidine,C20H21NO4,C09426,11617
5058,DCI,C11H15Cl2NO,C11772,13936
5059,FADH2,C27H35N9O15P2,C01352,4556
5060,Carbonic acid,CH2O3,C01353,4557
5061,Salmefamol,C19H25NO4,C11771,13935
5062,dUDP,C9H14N2O11P2,C01346,4551
5063,dXDP,C10H14N4O11P2,C01347,4552
5064,dXTP,C10H15N4O14P3,C01348,4553
5065,AA861,C21H26O3,C01349,4554
5066,XDP,C10H14N4O12P2,C01337,4545
5067,E-64,C15H27N5O5,C01341,4546
5068,dIDP,C10H14N4O10P2,C01344,4549
5069,dITP,C10H15N4O13P3,C01345,4550
5070,Jesaconitine,C35H49NO12,C08692,10885
5071,Karakoline,C22H35NO4,C08693,10886
5072,Acetylpseudotropine,C10H17NO2,C12453,582843
5073,Brinzolamide,C12H21N3O5S3,C07760,9962
5074,Farnesyl triphosphate,C15H29O10P3,C03115,6010
5075,Finaconitine,C33H46N2O10,C08684,10877
5076,Garryine,C22H33NO2,C08685,10878
5077,Heteratisine,C22H33NO5,C08686,10879
5078,Hetisine,C20H27NO3,C08687,10880
5079,Hypaconitine,C33H45NO10,C08688,10881
5080,Icaceine,C22H33NO4,C08689,10882
5081,Icacine,C22H31NO6,C08690,10883
5082,Bendroflumethiazide,C15H14F3N3O4S2,C07758,9960
5083,Phosphoribosyl-ATP,C15H25N5O20P4,C02739,5699
5084,Alendronic acid,C4H13NO7P2,C07752,9954
5085,Phosphoribosyl-AMP,C15H23N5O14P2,C02741,5701
5086,Ibutilide,C20H36N2O3S,C07753,9955
5087,L-Aspartylhydroxamate,C4H8N2O4,C03124,6017
5088,Imazaquin,C17H17N3O3,C05076,7524
5089,Nalidixic acid,C12H12N2O3,C05079,7525
5090,Novobiocin,C31H36N2O11,C05080,7526
5091,Cyclosporin A,C62H111N11O12,C05086,7528
5092,3-Ureidoisobutyrate,C5H10N2O3,C05100,7529
5093,4alpha-Methylzymosterol,C28H46O,C05103,7531
5094,"delta7,24-Cholestadien-3beta-ol",C27H44O,C05104,7532
5095,7-Dehydrodesmosterol,C27H42O,C05107,7533
5096,Thymol,C10H14O,C09908,12094
5097,"24,25-Dihydrolanosterol",C30H52O,C05109,7535
5098,Thujone,C10H16O,C09906,12092
5099,gamma-Thujaplicin,C10H12O2,C09905,12091
5100,beta-Thujaplicin,C10H12O2,C09904,12090
5101,Spirolucidine,C30H49N3O2,C09903,12089
5102,(R)-(+)-alpha-Terpineol,C10H18O,C09902,12088
5103,2-Succinylbenzoate,C11H10O5,C02730,5692
5104,N4-Phosphoagmatine,C5H15N4O3P,C02726,5688
5105,alpha-D-Mannose,C6H12O6,C00936,4188
5106,(R)-Lactaldehyde,C3H6O2,C00937,4189
5107,Sinapoylcholine,C16H24NO5+,C00933,4185
5108,UDP-L-arabinose,C14H22N2O16P2,C00935,4187
5109,Mercaptoethanol,C2H6OS,C00928,4181
5110,Porphobilinogen,C10H14N2O4,C00931,4184
5111,Ferrocytochrome,C33H32FeN4O4,C00924,4178
5112,Isonocardicin A,C23H24N4O9,C00927,4180
5113,Dimethylmaleate,C6H8O4,C00922,4176
5114,Ferricytochrome,C33H32FeN4O4+,C00923,4177
5115,Sphingosine 1-phosphate,C18H38NO5P,C06124,8381
5116,5-Dehydro-4-deoxy-D-glucarate,C6H8O7,C00679,3948
5117,Cichoriin,C15H16O9,C09206,11397
5118,14-Demethyllanosterol,C29H48O,C05108,7534
5119,2-Methylprop-2-enoyl-CoA,C25H40N7O17P3S,C03460,6280
5120,2-Hydroxy-3-oxosuccinate,C4H4O6,C03459,6279
5121,3''-Adenylylstreptomycin,C31H51N12O18P,C03462,6282
5122,5-Androstenetriol,C19H30O3,"",728729
5123,"2-trans,6-trans-Farnesal",C15H24O,C03461,6281
5124,"3L,7D,11D-Phytanic acid",C29H40O2,"",""
5125,3-Methyladipic acid,C7H12O4,"",266024
5126,(+)-Epicatechin,C15H14O6,C09728,11916
5127,(-)-Epicatechin,C15H14O6,C09727,11915
5128,Seiricardine A,C15H26O2,C09722,11910
5129,Sclerosporin,C15H22O2,C09721,11909
5130,beta-Santalol,C15H24O,C09720,11908
5131,alpha-Santalol,C15H24O,C09719,11907
5132,Dracorubin,C32H24O5,C09726,11914
5133,Shiromodiol diacetate,C19H30O5,C09725,11913
5134,"6,8-Diprenylnaringenin",C25H28O5,C09724,11912
5135,beta-Selinene,C15H24,C09723,11911
5136,"5,8-Tetradecadienoic acid",C14H24O2,"",729059
5137,Procollagen 5-(D-galactosyloxy)-L-lysine,C12H24N2O8,C05547,7883
5138,N-Acetyl-L-2-amino-6-oxopimelate,C9H13NO6,C05539,7878
5139,Penicillin G,C16H18N2O4S,C05551,7885
5140,6-Acetamido-2-oxohexanoate,C8H13NO4,C05548,7884
5141,3-Sulfopyruvate,C3H4O6S,C05528,7871
5142,3-Sulfinylpyruvate,C3H4O5S,C05527,7870
5143,N-Succinyl-2-amino-6-oxopimelate,C11H15NO8,C05537,7877
5144,Oxaloglutarate,C7H8O7,C05533,7875
5145,Benoxacor,C11H11Cl2NO2,C10964,13147
5146,Bentazone,C10H12N2O3S,C10965,13148
5147,Sarisan,C11H12O3,C10493,12676
5148,[6]-Shogaol,C17H24O3,C10494,12677
5149,Aerobactin,C22H36N4O13,C05554,7887
5150,N6-D-Biotinyl-L-lysine,C16H28N4O4S,C05552,7886
5151,DMPP,C12H19IN2,C07488,9691
5152,Glutethimide,C13H15NO2,C07489,9692
5153,Oxotremorine,C12H18N2O,C07485,9688
5154,Nordazepam,C15H11ClN2O,C07486,9689
5155,Montelukast,C35H36ClNO3S,C07482,9685
5156,Zaleplon,C17H15N5O,C07484,9687
5157,Theobromine,C7H8N4O2,C07480,9683
5158,Caffeine,C8H10N4O2,C07481,9684
5159,N-Cyclohexylformamide,C7H13NO,C11519,13687
5160,2-(alpha-D-Mannosyl)-3-phosphoglycerate,C9H17O12P,C11516,13686
5161,Trichloroethanol,C2H3Cl3O,C07490,9693
5162,Carbaril,C12H11NO2,C07491,9694
5163,"1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane",C14H9Cl5,C04623,7213
5164,"2,4-Dichloro-2,5-dihydro-5-oxofuran-2-acetate",C6H4Cl2O4,C04625,7215
5165,N-(7-Mercaptoheptanoyl)threonine 3-O-phosphate,C11H22NO7PS,C04628,7217
5166,Trimethylamine(alkyl-substituted derivatives),C3H9N,C04629,7218
5167,"UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose",C17H25N3O16P2,C04613,7204
5168,"(1S,2S)-1-Hydroxypropane-1,2,3-tricarboxylate",C6H8O7,C04617,7207
5169,(E)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide,C11H8N2O5,C04621,7211
5170,(Z)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide,C11H8N2O5,C04622,7212
5171,"UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose",C17H28N4O15P2,C04630,7219
5172,UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine,C20H29N3O19P2,C04631,7220
5173,unsym-Bis(4'-chlorophenyl)ethylene,C14H10Cl2,C06642,8868
5174,Bis(4'-chlorophenyl)methane,C13H10Cl2,C06641,8867
5175,Bis(4'-chlorophenyl)acetate,C14H10Cl2O2,C06640,8866
5176,"2,2-Bis(4'-chlorophenyl)ethanol",C14H12Cl2O,C06639,8865
5177,"1-Chloro-2,2-bis(4'-chlorophenyl)ethane",C14H11Cl3,C06638,8864
5178,"1-Chloro-2,2-bis(4'-chlorophenyl)ethylene",C14H9Cl3,C06637,8863
5179,"1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethane",C14H10Cl4,C06636,8862
5180,Erythronolide B,C21H38O7,C06635,8861
5181,"1,1-Dichloro-2-(dihydroxy-4'-chlorophenyl)-2-(4'-chlorophenyl)ethylene",C14H8Cl4O2,C06644,8870
5182,"4,4'-Dichlorobenzophenone",C13H8Cl2O,C06643,8869
5183,Narwedine,C17H19NO3,C08534,10727
5184,Aklaviketone,C22H18O8,C12423,582813
5185,Fructose 1-phosphate(furanose),C6H13O9P,C05000,7487
5186,Fructose(pyranose),C6H12O6,C05003,7489
5187,Pentylenetetrazole,C6H10N4,C13692,586281
5188,"4,5,6,7-Tetrahydroisoxazolo(5,4-c)pyridin-3-ol",C6H8N2O2,C13693,586282
5189,Dopamine 3-O-sulfate,C8H11NO5S,C13690,586279
5190,Dopamine 4-O-sulfate,C8H11NO5S,C13691,586280
5191,delta-Guanidinovaleric acid,C6H13N3O2,C13688,586277
5192,m-Benzenesulfonium diazonium chloride,C6H5ClN2O3S,C13689,586278
5193,Azithromycin dihydrate,C38H76N2O14,C13686,854007
5194,Cunaniol,C14H14O2,C13687,586276
5195,Isoguvacine,C6H9NO2,C13694,586283
5196,ZAPA,C4H6N2O2S,C13695,586284
5197,Neburon,C12H16Cl2N2O,C11188,13369
5198,Hoechst 33342,C27H28N6O,C11189,13370
5199,Rhodamine 123,C21H17ClN2O3,C11190,13371
5415,Wilfordine,C43H49NO19,C09992,12178
5200,cis-(Z)-Flupenthixol,C23H25F3N2OS,C11191,13372
5201,PMEG,C8H12N5O5P,C11184,13365
5202,Nuarimol,C17H12ClFN2O,C11185,13366
5203,Nonactin,C40H64O12,C11186,13367
5204,Nimesulide,C13H12N2O5S,C11187,13368
5205,(-)-Annonaine,C17H15NO2,C09339,11530
5206,Prenylamine,C24H27N,C11192,13373
5207,R (+)-Propanolol,C16H21NO2,C11193,13374
5208,Protoemetine,C19H27NO3,C11816,13980
5209,Isoalangiside,C25H31NO10,C11815,13979
5210,Perindopril,C19H32N2O5,C07706,9908
5211,Perindopril erbumine,C23H43N3O5,C07707,9909
5212,Pioglitazone,C19H20N2O3S,C07675,9877
5213,Acebutolol hydrochloride,C18H29ClN2O4,C07677,9879
5214,Phenformin,C10H15N5,C07673,9875
5215,Buformin,C6H15N5,C07674,9876
5216,Nisoldipine,C20H24N2O6,C07699,9901
5217,Moexipril,C27H34N2O7,C07704,9906
5218,Fenoldopam,C16H16ClNO3,C07693,9895
5219,Sodium nitroprusside dihydrate,C5H4FeN6Na2O3-4,C07695,9897
5220,Leucomycin A7,C38H63NO14,C14060,854298
5221,Leucomycin A8,C39H63NO15,C14061,854299
5222,Mercaptopurine,C5H6N4OS,C13245,585989
5223,Rolipram,C16H21NO3,C13251,585995
5224,Proxyphylline,C10H14N4O3,C13239,585983
5225,Ether,C4H10O,C13240,585984
5226,Procaterol hydrochloride,C16H23ClN2O3,C13235,585979
5227,Malotilate,C12H16O4S2,C13238,585982
5228,Bifonazole,C22H18N2,C13243,585987
5229,Antipyrine,C11H12N2O,C13244,585988
5230,Oxatomide,C27H30N4O,C13241,585985
5231,Adipiodone,C20H14I6N2O6,C13242,585986
5232,Pancratistatin,C14H15NO8,C08535,10728
5233,Antiarol,C9H12O4,C10765,12948
5234,S-Succinyldihydrolipoamide,C12H21NO4S2,C01169,4396
5235,Sulphuretin,C15H10O5,C08730,10923
5236,Rosinidin,C17H15O6+,C08729,10922
5237,Albafuran A,C24H26O4,C08732,10925
5238,Xenognosin A,C16H16O3,C08731,10924
5239,alpha-Terthienyl,C12H8S3,C08460,10653
5240,Stearolic acid,C18H32O2,C08459,10652
5241,Riccionidin A,C15H9O6+,C08728,10921
5242,Petunidin,C16H13O7+,C08727,10920
5243,Thiarubrine B,C13H8S2,C08462,10655
5244,Thiarubrine A,C13H8S2,C08461,10654
5245,"2,4-Dihydroxy-6-amino-1,3,5-triazine",C3H4N4O2,C08734,10927
5246,"2-Hydroxy-4,6-diamino-1,3,5-triazine",C3H5N5O,C08733,10926
5247,Grosshemin,C15H18O4,C09472,11663
5248,Helenalin,C15H18O4,C09473,11664
5249,Granilin,C15H20O4,C09470,11661
5250,Asebogenin,C16H16O5,C09471,11662
5251,Gradolide,C25H34O7,C09468,11659
5252,Graminiliatrin,C22H26O9,C09469,11660
5253,Glechomanolide,C15H20O2,C09466,11657
5254,Goyazensolide,C19H20O7,C09467,11658
5255,Pinocembrin,C15H12O4,C09827,12015
5256,Pinocembrin 7-rhamnosylglucoside,C27H32O13,C09828,12016
5257,Heliangin,C20H26O6,C09474,11665
5258,Hiyodorilactone A,C22H28O8,C09475,11666
5259,3-methylthiopropylhydroxamic-acid,C5H11NOS2,"",""
5260,Chamazulene,C14H16,C09633,11823
5261,22alpha-hydroxy-5alpha-campestan-3-one,C28H48O2,"",""
5262,22alpha-hydroxy-campest-4-en-3-one,C28H46O2,"",""
5263,22alpha-hydroxy-campesterol,C28H48O2,"",""
5264,campest-5-en-3-one,C28H46O,"",""
5265,CROTONOBETAINYL-COA,C28H48N8O17P3S,"",2553
5266,campest-4-en-3-one,C28H46O,"",""
5267,E-pyridine-3-aldoxime,C6H6N2O,"",157792
5268,indole carboxyl tetrahydro-thiazole,C12H12N2O2S,"",""
5269,Cypridina luciferin,C22H27N7O,C02825,5773
5270,D-Glucose 6-sulfate,C6H12O9S,C02827,5774
5271,Picolinamide,C6H6N2O,C01950,5053
5272,Piperitenone,C10H14O,C01951,5054
5273,"Benzene-1,2,4-triol",C6H6O3,C02814,5764
5274,Chlordecone alcohol,C10H2Cl10O,C02817,5767
5275,Pentadecanal,C15H30O,C01948,5051
5276,Ascorbate 2-sulfate,C6H8O9S,C02812,5762
5277,Cyanocob(III)alamin,C63H89CoN14O14P+,C02823,5771
5278,Cyclohexylsulfamate,C6H13NO3S,C02824,5772
5279,Cortisol 21-acetate,C23H32O6,C02821,5769
5280,Cortisol 21-sulfate,C21H30O8S,C02822,5770
5281,beta-D-Mannose,C6H12O6,C02209,5277
5282,Kawain,C14H14O3,C09947,12133
5283,5-Methylthio-D-ribose,C6H12O4S,C03089,5987
5284,5-Phosphoribosylamine,C5H12NO7P,C03090,5988
5285,4-Chlorophenylacetate,C8H7ClO2,C03077,5975
5286,4-Guanidinobutanamide,C5H12N4O,C03078,5976
5287,4-Hydroxy-L-glutamate,C5H9NO5,C03079,5977
5288,4-Hydroxyhydratropate,C9H10O3,C03080,5978
5289,4-Methylumbelliferone,C10H8O3,C03081,5979
5290,4-Phospho-L-aspartate,C4H8NO7P,C03082,5980
5291,5-Acetamidopentanoate,C7H13NO3,C03087,5985
5292,5-Hydroxymethyluracil,C5H6N2O3,C03088,5986
5293,N-Acetylpuromycin,C24H31N7O6,C07032,9244
5294,6-Deoxyjacareubin,C18H14O5,C10059,12245
5295,"3,5-Dimethoxy-1,6-dihydroxyxanthone",C15H12O6,C10060,12246
5296,Isovitexin 2''-O-beta-D-glucoside,C27H30O15,C04199,6872
5297,Indole-3-acetyl-beta-1-D-glucoside,C16H19NO7,C04197,6870
5298,Flavonol 3-O-L-rhamnosylglucoside,C27H32O15,C04194,6867
5299,Flavonol 3-O-D-xylosylgalactoside,C26H30O15,C04193,6866
5300,Dihydrostreptomycin 3''-phosphate,C21H42N7O15P,C04191,6865
5301,S-Methyl-5-thio-D-ribose 1-phosphate,C6H13O7PS,C04188,6864
5302,5-Methyldeoxycytidine diphosphate,C10H17N3O10P2,C04187,6863
5303,5-Carboxymethyl-2-hydroxymuconate,C8H8O7,C04186,6862
5304,"5,6-Dihydroxyindole-2-carboxylate",C9H7NO4,C04185,6861
5305,4-Hydroxy-4-methyl-2-oxoglutarate,C6H8O6,C04184,6860
5306,Cinchonine,C19H22N2O,C06528,8759
5307,Cupreine,C19H22N2O2,C06530,8760
5308,alpha-Erythroidine,C16H19NO3,C06531,8761
5309,beta-Erythroidine,C16H19NO3,C06532,8762
5310,Papaverine,C20H21NO4,C06533,8763
5311,Heroin,C21H23NO5,C06534,8764
5312,Physostigmine,C15H21N3O2,C06535,8765
5313,Harmaline,C13H14N2O,C06536,8766
5314,Harmalol,C12H10N2O,C06537,8767
5315,Harmine,C13H12N2O,C06538,8768
5316,Templetine,C20H35N3,C10786,12969
5317,(15:1)-Cardanol,C21H34O,C10785,12968
5318,Gentisyl alcohol,C7H8O3,C10792,12975
5319,Tsukushinamine A,C15H20N2O,C10791,12974
5320,Tinctorine,C15H20N2O,C10790,12973
5321,Thermospine,C15H20N2O,C10789,12972
5322,D-Glucuronate 1-phosphate,C6H11O10P,C05385,7759
5323,GDP-6-deoxy-L-mannose,C16H25N5O15P2,C05386,7760
5324,GDP-4-oxo-L-fucose,C16H23N5O15P2,C05389,7761
5325,Terbinafine,C21H25N,C08079,10279
5326,Sulconazole,C18H15Cl3N2S,C08076,10276
5327,Tioconazole,C16H13Cl3N2OS,C08082,10282
5328,Terconazole,C26H31Cl2N5O3,C08080,10280
5329,Natamycin,C33H47NO13,C08073,10273
5330,Naftifine hydrochloride,C21H22ClN,C08072,10272
5331,Oxiconazole nitrate,C18H14Cl4N4O4,C08075,10275
5332,Oxiconazole,C18H13Cl4N3O,C08074,10274
5333,Nicotinurate,C8H8N2O3,C05380,7754
5334,Tetracenomycin D1,C19H12O6,C12376,582766
5335,Tetracenomycin B1,C20H14O6,C12377,582767
5336,Amprenavir,C25H35N3O6S,C08086,10286
5337,Abacavir sulfate,C28H38N12O6S,C08083,10283
5338,3-Carboxy-1-hydroxypropyl-ThPP,C16H25N4O10P2S+,C05381,7755
5339,D-Sedoheptulose 7-phosphate,C7H15O10P,C05382,7756
5340,D-Ribitol,C5H12O5,C05384,7758
5341,2-Amino-5-phosphopentanoic acid,C5H12NO5P,C13734,586323
5342,(S)-ATPA,C10H16N2O4,C13733,586322
5343,Lunacridine,C17H23NO4,C10710,12893
5344,Calicheamicin gamma(1)I,C55H74IN3O21S4,C11469,13640
5345,Dynemicin A,C30H19NO9,C11471,13641
5346,"dTDP-4-amino-4,6-dideoxy-5-C-methyl-L-mannose",C17H29N3O14P2,C11461,13632
5347,3-Hydroxy-L-tyrosyl-AMP,C19H23N6O10P,C11462,13633
5348,Butyro-betaine,C8H18NO+,C11459,13630
5349,dTDP-4-oxo-5-C-methyl-L-rhamnose,C17H26N2O15P2,C11460,13631
5350,N-Pyruvoyl-5-methoxy-3-hydroxyanthranilate,C11H11NO6,C11467,13638
5351,"3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylic acid",C11H9NO5,C11468,13639
5352,"3,5-Dihydroxyanthranilate",C7H7NO4,C11465,13636
5353,5-Methoxy-3-hydroxyanthranilate,C8H9NO4,C11466,13637
5354,Fetidine,C40H46N2O8,C09441,11632
5355,Domoic acid,C15H21NO6,C13732,586321
5356,Aucubin,C15H22O9,C09771,11959
5357,NS-102,C12H11N3O4,C13731,586320
5358,Eupatoroxin,C20H24O8,C09443,11634
5359,Ethambutol,C10H24N2O2,C06984,9198
5360,"2,3,9,10-Tetrahydroxyberbine",C17H17NO4,C12330,582720
5361,Eupatoriopicrin,C20H26O6,C09442,11633
5362,"2,3,9,10-Tetrahydroxyberberine",C17H14NO4+,C12331,582721
5363,Didrovaltratum,C22H32O8,C09776,11964
5364,Militarinone D,C26H31NO4,C12332,582722
5365,Catalposide,C22H26O12,C09775,11963
5366,Militarinone A,C26H37NO6,C12333,582723
5367,2'-O-Methylodoratol,C18H20O5,C09774,11962
5368,Militarinone B,C26H33NO5,C12334,582724
5369,Catalpol,C15H22O10,C09773,11961
5370,Cerberoside,C42H66O18,C12091,14240
5371,Friedelin,C30H50O,C08626,10819
5372,Dioncophylline A,C24H27NO3,C12336,582726
5373,Asperlicin,C31H29N5O4,C11688,13853
5374,Curacin A,C23H35NOS,C11689,13854
5375,Uracil mustard,C8H11Cl2N3O2,C11686,13851
5376,Aziridine,C2H5N,C11687,13852
5377,MET-enkephalin,C27H35N5O7S,C11684,13849
5378,Clorgyline,C13H15Cl2NO,C11685,13850
5379,Tetrahydroalstonine,C21H24N2O3,C11682,13847
5380,19-epi-Ajmalicine,C21H24N2O3,C11683,13848
5381,Cathenamine,C21H22N2O3,C11680,13845
5382,19-epi-Cathenamine,C21H22N2O3,C11681,13846
5383,Fernene,C30H50,C08625,10818
5384,Lupeol acetate,C32H52O2,C08630,10823
5385,Messagenin,C30H50O2,C08631,10824
5386,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid",C22H32O2,C06429,8664
5387,Lupeol,C30H50O,C08628,10821
5388,"Cyanidin 3,5,3'-tri-O-glucoside",C33H41O21+,C08629,10822
5389,"2,6-Dimethylnaphthalene",C12H12,C14330,154691
5390,4-Chloro-m-cresol,C7H7ClO,C14331,148911
5391,Metribuzin,C8H14N4OS,C14332,172606
5392,Pronamide,C12H11Cl2NO,C14333,174154
5393,Propoxur,C11H15NO3,C14334,151373
5394,Pyrene,C16H10,C14335,173502
5395,"1,2-Dibromo-3-chloropropane",C3H5Br2Cl,C14336,150331
5396,Bioallethrin,C19H26O3,C14337,154746
5397,Pentachloronitrobenzene,C6Cl5NO2,C14338,149700
5398,"3,3'-Dimethylbisphenol A",C17H20O2,C14339,149594
5399,Testosterone glucuronide,C25H36O8,C11134,13316
5400,Styrene cis-glycol,C8H10O2,C07084,9295
5401,Styrene,C8H8,C07083,9294
5402,Loperamide,C29H33ClN2O2,C07080,9291
5403,Androsterone glucuronide,C25H38O8,C11135,13317
5404,Lindane,C6H6Cl6,C07075,9286
5405,Losartan,C22H23ClN6O,C07072,9283
5406,Levamisole,C11H12N2S,C07070,9282
5407,Levallorphan,C19H25NO,C07069,9281
5408,Casimiroedine,C21H27N3O6,C10577,12760
5409,Phenylacetic acid,C8H8O2,C07086,9297
5410,3-Vinylcatechol,C8H8O2,C07085,9296
5411,"1,3-Dihydro-3-hydroxy-2H-indol-2-one",C8H7NO2,C11130,13312
5412,2-Methoxy-estradiol-17beta 3-glucuronide,C25H34O9,C11131,13313
5413,7-Methylguanosine 5'-phosphate,C11H17N5O8P+,C03998,6711
5414,Benzyl 2-methyl-3-oxobutanoate,C12H14O3,C04000,6713
5416,Xanthomicrol,C18H16O7,C14476,215448
5417,"3,3-Difluoro-5alpha-androstan-17beta-yl acetate",C21H32F2O2,C14477,104256
5418,21-Deoxycortisone,C21H28O4,C14478,679598
5419,Flumethasone,C22H28F2O5,C14479,159728
5420,"4',5,6,7-Tetramethoxyflavone",C19H18O6,C14472,673315
5421,1(2H)-Phthalazinone,C8H6N2O,C14473,151542
5422,2-Ethyl-3-(4'-hydroxybenzoyl)benzofuran,C17H14O3,C14474,158446
5423,Bolasterone,C21H32O2,C14475,679568
5424,Amphibine B,C39H47N5O5,C09998,12184
5425,5-Diazouracil,C4H2N4O2,C14480,215504
5426,1-Hydroxy-2-acetamidofluorene,C15H13NO2,C14481,160864
5427,Amphibine A,C33H43N5O4,C09997,12183
5428,alpha-L-Rhamnose,C6H12O5,C02476,5491
5429,Xanthurenic acid,C10H7NO4,C02470,5485
5430,beta-L-Arabinose,C5H10O5,C02479,5494
5431,alpha-Tocopherol,C29H50O2,C02477,5492
5432,Triiodothyronine,C15H12I3NO4,C02465,5481
5433,Precorrin 2,C42H48N4O16,C02463,5480
5434,Uroporphyrin III,C40H38N4O16,C02469,5484
5435,UDPgalactosamine,C15H25N3O16P2,C02467,5483
5436,Adouetine Z,C42H45N5O5,C09995,12181
5437,gamma-Tocopherol,C28H48O2,C02483,5496
5438,"cis,cis-Muconate",C6H6O4,C02480,5495
5439,Blonanserin,C23H30FN3,C12576,582966
5440,Pheniramine maleate,C20H24N2O4,C12574,582964
5441,Iobitridol,C20H28I3N3O9,C12581,582971
5442,Trilostane,C20H27NO3,C12580,582970
5443,Octotiamine,C23H36N4O5S3,C12584,582974
5444,Tolfenamic acid,C14H12ClNO2,C12583,582973
5445,Pimilprost,C23H40O5,C12588,582978
5446,Stevioside,C38H60O18,C09189,11381
5447,Pheneturide,C11H14N2O2,C12590,582980
5448,Metiazinic acid,C15H13NO2S,C12589,582979
5449,(S)-2-Hydroxystearate,C18H36O3,C03045,5948
5450,Fruticosonine,C20H28N2O,C09191,11383
5451,Shikodonin,C20H26O6,C09184,11376
5452,Simplexin,C30H44O8,C09185,11377
5453,Chloroquine,C18H26ClN3,C07625,9827
5454,beta-L-Oleandropyranose,C7H14O4,C08237,10436
5455,Candletoxin A,C35H44O9,C09068,11260
5456,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,C28H43N5O23P2,C00692,3960
5457,Evodiamine,C19H17N3O,C09187,11379
5458,XTP,C10H15N4O15P3,C00700,3968
5459,"(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate",C20H32O5,C00696,3964
5460,Malate,C4H6O5,C00711,3977
5461,dCDP,C9H15N3O10P2,C00705,3972
5462,Panose,C18H32O16,C00713,3979
5463,Sorbose,C6H12O6,C01452,4629
5464,Dimethylallyl diphosphate,C5H12O7P2,C00235,3534
5465,Octane,C8H18,C01387,4581
5466,Quercetin 3-sulfate,C15H10O10S,C00616,3890
5467,UDP-D-galacturonate,C15H22N2O18P2,C00617,3891
5468,NH2Mec,C10H9NO2,C01386,4580
5469,AACOCF3,C21H31F3O,C01397,4587
5470,Alanine,C3H7NO2,C01401,4590
5471,Dimethylamine,C2H7N,C00543,3824
5472,Homogentisate,C8H8O4,C00544,3825
5473,Pyridoxine phosphate,C8H12NO6P,C00627,3900
5474,"2,5-Dihydroxybenzoate",C7H6O4,C00628,3901
5475,Anisole,C7H8O,C01403,4592
5476,Arg-OEt,C8H18N4O2,C01404,4593
5477,L-Arabitol,C5H12O5,C00532,3814
5478,Pyridoxamine,C8H12N2O2,C00534,3816
5479,Hydroquinone,C6H6O2,C00530,3812
5480,Itaconyl-CoA,C26H40N7O19P3S,C00531,3813
5481,Astragaloside III,C41H68O14,C08924,11116
5482,Astrasieversianin XVI,C47H78O18,C08925,11117
5483,Avenacin A-1,C55H83NO21,C08926,11118
5484,Avenacin B-2,C54H80O20,C08927,11119
5485,UDPglucosamine,C15H25N3O16P2,C02200,5268
5486,alpha-Pyrufuran,C15H14O5,C08929,11121
5487,Cuauchichicine,C22H33NO2,C08672,10865
5488,14-Deacetylnudicauline,C36H48N2O10,C08673,10866
5489,Cassaine,C24H39NO4,C08670,10863
5490,Condelphine,C25H39NO6,C08671,10864
5491,Cashmiradelphine,C37H52N2O11,C08668,10861
5492,Cassaidine,C24H41NO4,C08669,10862
5493,Cammaconine,C23H37NO5,C08666,10859
5494,Cardiopetalidine,C21H33NO4,C08667,10860
5495,Bikhaconitine,C36H51NO11,C08664,10857
5496,Browniine,C25H41NO7,C08665,10858
5497,Cyhalothrin,C23H19ClF3NO3,C10983,13166
5498,Magellanine,C17H25NO2,C09886,12072
5499,(+)-Piperitone,C10H16O,C09885,12071
5500,Megastachine,C20H29NO3,C09888,12074
